zip,lat,lng,mi_sac,mi_oak,mi_nearest
95003,37.00670,-121.87821,110.8,59.2,59.2
95004,36.87476,-121.63073,118.2,73.2,73.2
95005,37.09877,-122.09173,107.5,49.7,49.7
95006,37.17127,-122.14952,103.8,44.3,44.3
95007,37.10496,-122.10690,107.4,49.2,49.2
95008,37.27917,-121.95534,93.4,40.2,40.2
95010,36.97617,-121.95316,113.7,59.8,59.8
95012,36.78448,-121.75905,125.0,75.9,75.9
95013,37.21536,-121.74152,95.4,50.0,50.0
95014,37.30649,-122.08064,93.7,36.0,36.0
95017,37.11433,-122.23716,109.2,47.7,47.7
95018,37.07409,-122.05937,108.6,51.8,51.8
95019,36.93554,-121.78313,114.8,65.7,65.7
95020,37.01842,-121.55425,108.1,67.1,67.1
95023,36.90205,-121.35078,116.3,80.3,80.3
95030,37.22276,-121.98327,97.6,43.2,43.2
95032,37.21695,-121.92655,97.2,44.8,44.8
95033,37.16085,-121.98397,101.7,47.2,47.2
95035,37.44435,-121.86886,81.2,33.2,33.2
95037,37.17406,-121.59875,97.4,57.1,57.1
95039,36.82815,-121.77658,122.1,72.7,72.7
95041,37.05042,-122.05782,110.2,53.4,53.4
95043,36.52570,-120.95212,145.1,114.4,114.4
95045,36.82574,-121.51859,121.3,79.3,79.3
95046,37.09931,-121.59924,102.6,61.1,61.1
95050,37.35116,-121.95230,88.6,35.9,35.9
95051,37.34864,-121.98437,89.3,35.2,35.2
95053,37.34872,-121.93756,88.5,36.4,36.4
95054,37.39349,-121.96467,86.0,33.0,33.0
95060,37.03646,-122.12175,112.1,53.7,53.7
95062,36.97053,-121.98749,114.5,59.7,59.7
95064,36.99111,-122.05902,114.1,57.4,57.4
95065,37.03148,-121.98334,110.4,55.7,55.7
95066,37.06792,-122.01399,108.4,52.8,52.8
95070,37.26050,-122.04617,96.1,39.6,39.6
95073,37.04225,-121.93005,109.0,55.9,55.9
95075,36.77905,-121.14244,126.0,94.2,94.2
95076,36.94626,-121.75648,113.9,65.7,65.7
95110,37.34651,-121.90980,88.3,37.3,37.3
95111,37.28311,-121.82625,91.5,43.5,43.5
95112,37.34448,-121.88353,88.1,38.2,38.2
95113,37.33369,-121.89100,88.9,38.6,38.6
95116,37.35042,-121.85259,87.3,38.9,38.9
95117,37.31118,-121.96187,91.4,38.1,38.1
95118,37.25552,-121.88999,94.1,43.3,43.3
95119,37.23033,-121.78523,94.7,47.8,47.8
95120,37.18614,-121.84355,98.3,48.7,48.7
95121,37.30415,-121.80987,89.9,42.8,42.8
95122,37.32868,-121.83527,88.5,40.6,40.6
95123,37.24424,-121.83160,94.2,45.6,45.6
95124,37.25677,-121.92276,94.5,42.4,42.4
95125,37.29506,-121.89144,91.5,40.9,40.9
95126,37.32679,-121.91675,89.7,38.3,38.3
95127,37.37109,-121.80075,85.3,39.5,39.5
95128,37.31598,-121.93632,90.7,38.4,38.4
95129,37.30574,-122.00093,92.4,37.5,37.5
95130,37.27712,-121.98613,94.0,39.6,39.6
95131,37.38711,-121.89742,85.4,35.4,35.4
95132,37.42457,-121.74860,81.1,38.8,38.8
95133,37.37161,-121.86084,86.0,37.4,37.4
95134,37.42638,-121.95098,83.6,31.5,31.5
95135,37.28453,-121.65832,90.1,49.2,49.2
95136,37.26913,-121.85099,92.7,43.6,43.6
95138,37.24662,-121.73383,93.2,48.5,48.5
95139,37.22491,-121.76408,94.9,48.7,48.7
95140,37.39350,-121.62001,82.4,45.6,45.6
95148,37.33599,-121.77760,87.4,42.2,42.2
95202,37.95974,-121.28829,44.4,54.7,44.4
95203,37.95245,-121.32966,44.4,52.4,44.4
95204,37.97374,-121.31925,43.1,53.2,43.1
95205,37.96458,-121.25984,44.5,56.3,44.5
95206,37.91885,-121.41743,46.0,47.2,46.0
95207,38.00212,-121.32498,41.1,53.4,41.1
95209,38.04686,-121.35280,37.7,52.8,37.7
95210,38.03018,-121.29791,39.6,55.3,39.6
95211,37.97925,-121.31341,42.8,53.6,42.8
95212,38.04994,-121.23297,39.4,59.1,39.4
95215,37.94942,-121.15728,47.4,61.6,47.4
95219,38.05173,-121.48304,36.6,46.2,36.6
95220,38.20023,-121.23503,29.9,62.7,29.9
95222,38.07211,-120.63135,58.5,91.3,58.5
95223,38.43397,-119.96844,83.1,132.5,83.1
95224,38.23132,-120.32269,67.9,110.1,67.9
95225,38.19376,-120.87593,42.9,80.6,42.9
95226,38.22895,-120.85663,42.3,82.4,42.3
95227,38.21035,-121.05126,35.1,72.1,35.1
95228,37.90723,-120.68831,63.9,86.6,63.9
95230,38.00049,-120.89815,51.6,76.1,51.6
95231,37.87379,-121.29015,50.1,53.7,50.1
95232,38.35534,-120.59402,51.2,98.8,51.2
95233,38.16167,-120.36814,67.6,106.5,67.6
95234,37.92576,-121.52803,45.4,41.4,41.4
95236,38.02973,-121.02389,45.9,69.7,45.9
95237,38.16188,-121.14984,34.5,65.9,34.5
95240,38.11439,-121.14466,37.4,65.0,37.4
95242,38.13707,-121.38455,31.3,53.5,31.3
95245,38.29926,-120.62671,50.8,95.8,50.8
95246,38.22700,-120.51456,58.4,100.0,58.4
95247,38.13854,-120.45290,64.2,101.7,64.2
95248,38.31771,-120.46111,58.8,104.7,58.8
95249,38.18912,-120.63871,53.7,92.8,53.7
95250,38.23783,-120.42866,62.4,104.7,62.4
95251,38.07840,-120.44344,66.7,101.4,66.7
95252,38.14982,-120.84667,46.1,81.2,46.1
95254,38.19262,-120.95782,39.6,76.4,39.6
95255,38.41990,-120.47446,56.3,106.5,56.3
95257,38.37970,-120.44800,58.3,106.8,58.3
95258,38.17356,-121.31225,29.9,58.1,29.9
95301,37.32123,-120.65439,98.4,94.6,94.6
95303,37.47029,-120.67108,88.9,90.5,88.9
95304,37.67110,-121.40656,63.1,48.1,48.1
95305,37.79422,-120.26914,85.9,109.3,85.9
95306,37.36553,-120.16016,111.1,119.5,111.1
95307,37.55427,-120.95152,76.9,74.2,74.2
95310,38.08584,-120.37855,69.5,104.9,69.5
95311,37.71426,-120.08139,97.4,119.8,97.4
95312,37.42107,-120.65298,92.3,92.4,92.3
95313,37.43139,-121.05129,83.1,71.6,71.6
95314,38.31913,-119.79621,93.7,139.3,93.7
95315,37.42190,-120.76928,89.3,86.3,86.3
95316,37.55338,-120.71406,82.8,86.9,82.8
95317,37.12738,-120.50643,114.0,107.5,107.5
95318,37.65337,-119.78412,112.9,136.3,112.9
95319,37.63929,-120.90305,72.6,75.6,72.6
95320,37.82560,-121.00516,58.6,69.1,58.6
95321,37.86426,-120.00454,94.8,123.8,94.8
95322,37.16620,-121.02443,101.1,81.3,81.3
95323,37.60830,-120.68516,80.4,87.8,80.4
95324,37.39454,-120.89075,88.4,80.7,80.7
95325,37.46607,-120.22595,103.5,114.3,103.5
95326,37.58892,-120.85524,76.9,78.8,76.9
95327,37.86162,-120.48032,74.2,97.8,74.2
95328,37.55845,-120.90988,77.5,76.4,76.4
95329,37.66659,-120.41152,86.4,102.1,86.4
95330,37.80891,-121.31264,54.3,52.3,52.3
95333,37.24223,-120.24044,115.0,117.9,115.0
95334,37.34731,-120.74263,94.6,89.5,89.5
95335,38.12489,-120.09315,82.2,120.7,82.2
95336,37.83027,-121.20102,54.3,58.4,54.3
