TRUCRS ID,Name,Carrier Number,Carrier Type,Complies,Date Certificate Printed,ZEV Fleet,Email,URL,Address,Phone,Date Parsed,Year,Month,Year-Month
187258,Guzman Trucking LLC,3579818,USDOT Number,TB,2025-05-29 10:30:54,N,,,,,2025-05-149 10:30:00,2025,5,2025-05
266330,Mike & Matt Elsasser Trucking Inc.,3361263,USDOT Number,TB,2025-05-29 10:25:20,N,,,,,2025-05-149 10:25:00,2025,5,2025-05
249579,Cbi Logistics LLC,2933265,USDOT Number,TB,2025-05-29 10:24:52,N,,,,,2025-05-149 10:24:00,2025,5,2025-05
235590,BOOST CARRIERS INC,443670,CA Number,TB,2025-05-29 10:20:50,N,,,,,2025-05-149 10:20:00,2025,5,2025-05
159455,WRS BROS LLC,190956,PUC Number,TB,2025-05-29 10:16:38,N,,,,,2025-05-149 10:16:00,2025,5,2025-05
235174,BADR EXPRESS INC,592309,CA Number,TB,2025-05-29 10:13:26,N,,,,,2025-05-149 10:13:00,2025,5,2025-05
197459,Jj&Sons Logistics Inc,1496116,CA Number,TB,2025-05-29 10:11:36,N,,,,,2025-05-149 10:11:00,2025,5,2025-05
141999,Vitaly trucking,3165267,USDOT Number,ACF/TB,2025-05-29 10:04:11,N,,,,,2025-05-149 10:04:00,2025,5,2025-05
266328,Mitchell Engineering,2496129,USDOT Number,TB,2025-05-29 9:55:11,N,,,,,2025-05-149 09:55:00,2025,5,2025-05
266328,WEHAULLOADS LLC,452526,CA Number,TB,2025-05-29 9:55:11,N,,,,,2025-05-149 09:55:00,2025,5,2025-05
233569,ZSF TRANSPORT LLC,4053065,USDOT Number,TB,2025-05-29 9:52:55,N,,,,,2025-05-149 09:52:00,2025,5,2025-05
228379,V&V Freight LLC,,CA Number,TB,2025-05-29 9:52:15,N,,,,,2025-05-149 09:52:00,2025,5,2025-05
25837,Ford cattle co,269372,USDOT Number,TB,2025-05-29 9:29:16,N,,,,,2025-05-149 09:29:00,2025,5,2025-05
25837,E ESPARZA TRUCKING,188232,CA Number,TB,2025-05-29 9:29:16,N,,,,,2025-05-149 09:29:00,2025,5,2025-05
18782,Dees Transportation,442065,USDOT Number,TB,2025-05-29 9:28:21,N,,,,,2025-05-149 09:28:00,2025,5,2025-05
35616,Brian's Toledo Towing Service Inc.,72978,IRP Number,TB,2025-05-29 9:15:22,N,,,,,2025-05-149 09:15:00,2025,5,2025-05
261936,MT TOWING SYSTEMS INC,4268542,USDOT Number,TB,2025-05-29 9:14:58,N,,,,,2025-05-149 09:14:00,2025,5,2025-05
32735,WHL & P INC,ca267389,CA Number,TB,2025-05-29 9:03:51,N,,,,,2025-05-149 09:03:00,2025,5,2025-05
185097,Rockin Concrete Breakin,587324,CA Number,TB,2025-05-29 8:59:39,N,,,,,2025-05-149 08:59:00,2025,5,2025-05
68617,WILD WEST TRUCKING LLC,15913,IRP Number,TB,2025-05-29 8:30:30,N,,,,,2025-05-149 08:30:00,2025,5,2025-05
68617,ADC TRUCKING,371942,Other,TB,2025-05-29 8:30:30,N,,,,,2025-05-149 08:30:00,2025,5,2025-05
68617,NAVIGATOR TRANSPORT INC,318618,USDOT Number,TB,2025-05-29 8:30:30,N,,,,,2025-05-149 08:30:00,2025,5,2025-05
164017,A&D TRUCKING LLC,917751,CA Number,TB,2025-05-29 8:27:16,N,,,,,2025-05-149 08:27:00,2025,5,2025-05
235259,DM Towing,3336070,USDOT Number,TB,2025-05-29 8:08:49,N,,,,,2025-05-149 08:08:00,2025,5,2025-05
266322,"Inlog, Inc.",4164030,USDOT Number,TB,2025-05-29 8:05:32,N,,,,,2025-05-149 08:05:00,2025,5,2025-05
266323,TEAMED UP TRANSPORT LLC,3562526,USDOT Number,TB,2025-05-29 7:54:57,N,,,,,2025-05-149 07:54:00,2025,5,2025-05
266321,"Amadi Logistics, LLC",3028476,USDOT Number,TB,2025-05-29 7:50:03,N,,,,,2025-05-149 07:50:00,2025,5,2025-05
139378,HPH TRANSPORTATION INC,520681,CA Number,TB,2025-05-29 7:29:10,N,,,,,2025-05-149 07:29:00,2025,5,2025-05
266142,M & J SOHAL CARRIER INC,189634,CA Number,TB,2025-05-29 7:28:39,N,,,,,2025-05-149 07:28:00,2025,5,2025-05
191630,A&R HIGHWAY EXPRESS INC,204885,IRP Number,TB,2025-05-29 7:26:31,N,,,,,2025-05-149 07:26:00,2025,5,2025-05
191630,HS TRANSLINE INC,3743871,USDOT Number,TB,2025-05-29 7:26:31,N,,,,,2025-05-149 07:26:00,2025,5,2025-05
196603,LATTI TRANSPORT INC,203336,IRP Number,TB,2025-05-29 7:22:52,N,,,,,2025-05-149 07:22:00,2025,5,2025-05
196603,Ace Logistics llc,3177045,USDOT Number,TB,2025-05-29 7:22:52,N,,,,,2025-05-149 07:22:00,2025,5,2025-05
217650,IMOM ALI LINE INC,608354,CA Number,TB,2025-05-29 6:59:02,N,,,,,2025-05-149 06:59:00,2025,5,2025-05
259532,"Clean Out Bin, Inc.",,CA Number,TB,2025-05-29 6:40:59,N,,,,,2025-05-149 06:40:00,2025,5,2025-05
122145,"CCL Contracting, Inc.",472654,CA Number,TB,2025-05-29 6:29:18,N,,,,,2025-05-149 06:29:00,2025,5,2025-05
251483,SAFE ROUTE TRANSPORT INC,322700,CA Number,TB,2025-05-29 6:18:59,N,,,,,2025-05-149 06:18:00,2025,5,2025-05
149150,NEXGEN TRANSPORT LLC,443813,CA Number,TB,2025-05-29 6:01:52,N,,,,,2025-05-149 06:01:00,2025,5,2025-05
150737,"A-1 Advantage Asphalt, LLC",143998,CA Number,TB,2025-05-29 5:44:03,N,,,,,2025-05-149 05:44:00,2025,5,2025-05
232236,NIJJAR CARGO INC,2039991,USDOT Number,TB,2025-05-29 5:18:50,N,,,,,2025-05-149 05:18:00,2025,5,2025-05
87856,SKYHIGH CARGO INC,314503,CA Number,TB,2025-05-29 4:58:55,N,,,,,2025-05-149 04:58:00,2025,5,2025-05
230147,A&M Reinforcement Specialists,630741,CA Number,TB,2025-05-29 4:44:12,N,,,,,2025-05-149 04:44:00,2025,5,2025-05
230147,Shaw Trucking,3931138,USDOT Number,TB,2025-05-29 4:44:12,N,,,,,2025-05-149 04:44:00,2025,5,2025-05
159796,USD Express LLC,415268,CA Number,TB,2025-05-29 4:35:47,N,,,,,2025-05-149 04:35:00,2025,5,2025-05
266356,CHATHA TRUCKLINE INC,4307913,USDOT Number,TB,2025-05-29 4:09:13,N,,,,,2025-05-149 04:09:00,2025,5,2025-05
266345,Supreme Freight Lines Inc,2082872,USDOT Number,TB,2025-05-29 4:00:37,N,,,,,2025-05-149 04:00:00,2025,5,2025-05
